Title,Year,Age,Netflix,Hulu,Disney,Key,Writer,Genre,IMDB_Rating,IMDB_Votes,Rotten_Tomatoes,Country,Awards
The End of the F***ing World,2017,18+,1,0,0,The End of the F***ing World2017,Jonathan Entwistle,"Adventure, Comedy, Crime, Drama, Romance, Thriller",8.1,138688,93,UK,Nominated for 2 Primetime Emmys. Another 7 wins & 6 nominations.
Arrested Development,2003,16+,1,1,0,Arrested Development2003,Mitchell Hurwitz,Comedy,8.7,273003,75,USA,Won 1 Golden Globe. Another 59 wins & 120 nominations.
The Vampire Diaries,2009,7+,1,0,0,The Vampire Diaries2009,"Julie Plec, Kevin Williamson","Drama, Fantasy, Horror, Mystery, Romance, Thriller",7.7,276533,85,USA,36 wins & 66 nominations.
The Crown,2016,18+,1,0,0,The Crown2016,Peter Morgan,"Drama, History",8.7,120057,89,"UK, USA",Won 3 Golden Globes. Another 65 wins & 174 nominations.
The 100,2014,16+,1,0,0,The 1002014,Jason Rothenberg,"Drama, Mystery, Sci-Fi",7.6,208243,92,"USA, Canada",Nominated for 1 Primetime Emmy. Another 8 wins & 36 nominations.
When They See Us,2019,18+,1,0,0,When They See Us2019,Ava DuVernay,"Biography, Crime, Drama, History",8.9,84666,96,USA,Won 2 Primetime Emmys. Another 24 wins & 75 nominations.
How to Get Away with Murder,2014,16+,1,1,0,How to Get Away with Murder2014,Peter Nowalk,"Crime, Drama, Mystery, Thriller",8.1,122269,88,USA,Nominated for 2 Golden Globes. Another 16 wins & 75 nominations.
After Life,2019,18+,1,0,0,After Life2019,Ricky Gervais,"Comedy, Drama",8.4,79937,70,UK,1 win.
Elite,2018,18+,1,0,0,Elite2018,"Darío Madrona, Carlos Montero","Crime, Drama, Thriller",7.6,42577,97,Spain,3 nominations.
BoJack Horseman,2014,18+,1,0,0,BoJack Horseman2014,Raphael Bob-Waksberg,"Animation, Comedy, Drama",8.7,104160,93,USA,Nominated for 3 Primetime Emmys. Another 24 wins & 28 nominations.
Never Have I Ever,2020,16+,1,0,0,Never Have I Ever2020,"Lang Fisher, Mindy Kaling",Comedy,7.9,20803,97,USA,1 win & 1 nomination.
Penny Dreadful,2014,18+,1,0,0,Penny Dreadful2014,John Logan,"Drama, Fantasy, Horror",8.2,110457,91,"Ireland, UK, USA",Nominated for 1 Golden Globe. Another 16 wins & 84 nominations.
Dead to Me,2019,18+,1,0,0,Dead to Me2019,Liz Feldman,"Comedy, Drama",8.0,50984,91,USA,Nominated for 1 Golden Globe. Another 2 wins & 25 nominations.
Unorthodox,2020,18+,1,0,0,Unorthodox2020,0,Drama,8.0,48088,94,Germany,Won 1 Primetime Emmy. Another 2 wins & 21 nominations.
Sense8,2015,18+,1,0,0,Sense82015,"J. Michael Straczynski, Lana Wachowski, Lilly Wachowski","Drama, Mystery, Sci-Fi, Thriller",8.3,136273,86,USA,Nominated for 2 Primetime Emmys. Another 3 wins & 12 nominations.
Sacred Games,2018,18+,1,0,0,Sacred Games2018,Varun Grover,"Action, Crime, Drama, Thriller",8.7,72474,92,"India, USA",3 wins & 7 nominations.
American Crime Story,2016,18+,1,0,0,American Crime Story2016,"Scott Alexander, Larry Karaszewski, Tom Rob Smith","Biography, Crime, Drama",8.4,77961,93,USA,Won 4 Golden Globes. Another 93 wins & 120 nominations.
Family Guy,1999,18+,1,1,0,Family Guy1999,"Seth MacFarlane, David Zuckerman","Animation, Comedy",8.1,300387,71,USA,Won 9 Primetime Emmys. Another 28 wins & 100 nominations.
