Title,Year,Age,Netflix,Hulu,Disney,Key,Writer,Genre,IMDB_Rating,IMDB_Votes,Rotten_Tomatoes,Country,Awards
Soundtrack,2019,,1,0,0,Soundtrack2019,Joshua Safran,"Drama, Musical",6.7,1601,40,USA,2 nominations.
First Team: Juventus,2018,,1,0,0,First Team: Juventus2018,0,"Documentary, Reality-TV, Sport",7.4,1670,0,USA,0
The Last Kids on Earth,2019,7+,1,0,0,The Last Kids on Earth2019,0,"Animation, Adventure, Comedy, Family, Horror",7.5,627,0,USA,2 wins & 1 nomination.
Morocco: Love in Times of War,2017,,1,0,0,Morocco: Love in Times of War2017,0,"Drama, War",7.7,2205,0,Spain,1 nomination.
Tomorrow with You,2017,,1,0,0,Tomorrow with You2017,0,"Fantasy, Romance",7.4,426,0,South Korea,0
We Are the Wave,2019,18+,1,0,0,We Are the Wave2019,"Jan Berger, Dennis Gansel, Peter Thorwarth",Drama,6.1,2009,0,Germany,0
Somewhere Between,2017,16+,1,0,0,Somewhere Between2017,Stephen Tolkin,"Drama, Sci-Fi, Thriller",6.2,4210,0,USA,3 wins & 5 nominations.
Trump: An American Dream,2017,,1,0,0,Trump: An American Dream2017,0,"Documentary, Biography",7.2,2932,0,UK,0
One Spring Night,2019,,1,0,0,One Spring Night2019,0,"Drama, Romance",7.9,1004,0,South Korea,0
Cricket Fever: Mumbai Indians,2019,,1,0,0,Cricket Fever: Mumbai Indians2019,0,Sport,7.3,458,0,India,0
Zumbo's Just Desserts,2016,7+,1,0,0,Zumbo's Just Desserts2016,0,Reality-TV,6.9,1659,0,Australia,0
Zumbo's Just Desserts,2016,7+,1,0,0,Zumbo's Just Desserts2016,0,Reality-TV,6.9,1659,0,Australia,0
Marseille,2016,18+,1,0,0,Marseille2016,Dan Franck,Drama,6.9,4372,33,France,0
The Dick Van Dyke Show,1961,all,1,1,0,The Dick Van Dyke Show1961,Carl Reiner,"Comedy, Family",8.3,8421,0,USA,Won 2 Golden Globes. Another 25 wins & 22 nominations.
Borderliner,2017,18+,1,0,0,Borderliner2017,Megan Gallagher,"Crime, Drama, Thriller",6.8,2860,0,"Norway, Germany, Sweden",1 win & 2 nominations.
Ultimate Beastmaster,2017,7+,1,0,0,Ultimate Beastmaster2017,"David Broome, Sylvester Stallone","Game-Show, Reality-TV",7.3,1995,0,"USA, Brazil, South Korea, Mexico, Japan, Germany",0
Diablero,2018,16+,1,0,0,Diablero2018,0,"Fantasy, Horror, Thriller",6.6,2067,0,Mexico,1 nomination.
Alaska State Troopers,2009,16+,1,0,0,Alaska State Troopers2009,0,"Documentary, Western",7.5,676,0,USA,0
Stories by Rabindranath Tagore,2015,16+,1,0,0,Stories by Rabindranath Tagore2015,0,Drama,8.9,929,0,India,0
Terrace House: Opening New Doors,2017,,1,0,0,Terrace House: Opening New Doors2017,0,Reality-TV,7.8,720,0,Japan,0
Terrace House: Opening New Doors,2017,,1,0,0,Terrace House: Opening New Doors2017,0,Reality-TV,7.8,720,0,Japan,0
"Breakfast, Lunch & Dinner",2019,18+,1,0,0,"Breakfast, Lunch & Dinner2019",0,Documentary,6.8,744,80,USA,0
Ice Fantasy,2016,16+,1,0,0,Ice Fantasy2016,0,"Adventure, Fantasy, War",7.1,453,0,China,3 wins & 2 nominations.
The Supervet,2014,7+,1,0,0,The Supervet2014,0,Reality-TV,8.7,309,0,UK,0
The Seventies,2015,7+,1,0,0,The Seventies2015,0,"Documentary, History",8.3,1190,0,USA,Nominated for 1 Primetime Emmy. Another 1 nomination.
The InBESTigators,2019,all,1,0,0,The InBESTigators2019,"Robyn Butler, Wayne Hope","Comedy, Crime, Family",7.6,256,0,Australia,1 nomination.
El Chema,2016,16+,1,0,0,El Chema2016,Luis Zelkowicz,"Action, Crime",6.9,242,0,Mexico,0
The Adventures of Puss in Boots,2015,7+,1,0,0,The Adventures of Puss in Boots2015,0,"Animation, Action, Adventure, Comedy, Family, Fantasy",6.7,1267,0,USA,1 win & 11 nominations.
Unnatural Selection,2019,,1,0,0,Unnatural Selection2019,0,Documentary,8.0,1250,0,USA,0
Skin Wars,2014,16+,1,1,0,Skin Wars2014,0,Reality-TV,7.1,1133,0,USA,1 nomination.
Unstoppable,2020,18+,1,0,0,Unstoppable2020,Diego Martínez Ulanosky,"Comedy, Drama",7.3,602,0,Mexico,0
The Hockey Girls,2019,16+,1,0,0,The Hockey Girls2019,Núria Parera,"Drama, Sport",6.9,197,0,Spain,0
Record of Grancrest War,2018,18+,1,0,0,Record of Grancrest War2018,0,"Animation, Action, Adventure, Fantasy",7.3,492,0,Japan,0
Who Killed Malcolm X?,2019,,1,0,0,Who Killed Malcolm X?2019,0,"Documentary, Crime, History",7.6,1482,0,USA,1 nomination.
Glow Up: Britain's Next Make-Up Star,2019,,1,0,0,Glow Up: Britain's Next Make-Up Star2019,0,Reality-TV,6.6,947,0,UK,0
Ares,2020,18+,1,0,0,Ares2020,"Pieter Kuijpers, Iris Otten, Sander van Meurs","Drama, Horror",5.6,3454,0,Netherlands,0
Barbie: Life in the Dreamhouse,2012,all,1,0,0,Barbie: Life in the Dreamhouse2012,0,"Animation, Short, Comedy, Family",7.3,1251,0,"USA, Canada",0
Cheese in the Trap,2016,16+,1,0,0,Cheese in the Trap2016,0,"Comedy, Romance",7.4,2627,0,South Korea,2 wins & 4 nominations.
Killer Kids,2011,16+,1,0,0,Killer Kids2011,0,"Documentary, Biography, Crime",7.0,523,0,"Canada, USA",0
Another Miss Oh,2016,,1,0,0,Another Miss Oh2016,0,"Comedy, Fantasy, Romance",7.9,976,0,South Korea,3 wins & 3 nominations.
Another Miss Oh,2016,,1,0,0,Another Miss Oh2016,0,"Comedy, Fantasy, Romance",7.9,976,0,South Korea,3 wins & 3 nominations.
Anjaan: Special Crimes Unit,2018,16+,1,0,0,Anjaan: Special Crimes Unit2018,0,"Horror, Mystery, Thriller",6.9,215,0,India,0
Best Friends Whenever,2015,all,1,0,1,Best Friends Whenever2015,"Jed Elinoff, Scott Thomas","Comedy, Family, Sci-Fi",5.6,1518,0,USA,3 nominations.
Osmosis,2019,16+,1,0,0,Osmosis2019,Audrey Fouché,"Romance, Sci-Fi",5.9,2149,0,France,0
Hormones,2013,16+,1,0,0,Hormones2013,0,"Comedy, Drama, Romance",8.0,486,0,Thailand,0
Love Rain,2012,7+,1,0,0,Love Rain2012,0,"Comedy, Drama, Romance",7.7,1204,0,South Korea,1 win & 2 nominations.
Switched,2018,16+,1,0,0,Switched2018,0,"Drama, Sci-Fi",7.1,985,0,Japan,0
Creeped Out,2017,7+,1,0,0,Creeped Out2017,"Bede Blake, Robert Butler","Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",6.6,1241,0,"UK, Canada",3 wins & 10 nominations.
Chicago Typewriter,2017,,1,0,0,Chicago Typewriter2017,0,"Drama, Fantasy, Romance",8.2,887,0,South Korea,3 nominations.
Immortals,2018,7+,1,0,0,Immortals2018,0,"Action, Adventure, Drama, Fantasy, Thriller",5.4,2460,0,Turkey,2 nominations.
Yo-Kai Watch,2014,all,1,0,0,Yo-Kai Watch2014,0,"Animation, Comedy, Family, Fantasy",5.9,142,0,Japan,2 wins.
Rookie Historian Goo Hae-Ryung,2019,,1,0,0,Rookie Historian Goo Hae-Ryung2019,0,"Drama, History, Romance",8.2,766,0,South Korea,0
Million Pound Menu,2018,,1,0,0,Million Pound Menu2018,"Natalie McArdle, Shaun Parry","Game-Show, Reality-TV",6.6,426,57,UK,0
Million Pound Menu,2018,,1,0,0,Million Pound Menu2018,"Natalie McArdle, Shaun Parry","Game-Show, Reality-TV",6.6,426,57,UK,0
Unit 42,2017,7+,1,0,0,Unit 422017,"Charlotte Joulia, Julie Bertrand, Annie Carels, Guy Goossens","Crime, Drama, Thriller",7.0,1395,0,Belgium,0
Love Your Garden,2011,,1,0,0,Love Your Garden2011,0,Reality-TV,8.0,163,0,UK,0
Love Your Garden,2011,,1,0,0,Love Your Garden2011,0,Reality-TV,8.0,163,0,UK,0
Love Your Garden,2011,,1,0,0,Love Your Garden2011,0,Reality-TV,8.0,163,0,UK,0
Omniscient,2020,18+,1,0,0,Omniscient2020,Pedro Aguilera,"Drama, Sci-Fi",6.3,1170,0,Brazil,0
Green Frontier,2019,18+,1,0,0,Green Frontier2019,"Jenny Ceballos, Mauricio Leiva-Cock, Diego Ramírez-Schrempp","Crime, Thriller",7.3,1874,0,Colombia,0
Green Frontier,2019,18+,1,0,0,Green Frontier2019,"Jenny Ceballos, Mauricio Leiva-Cock, Diego Ramírez-Schrempp","Crime, Thriller",7.3,1874,0,Colombia,0
Adventures of Sonic the Hedgehog,1993,all,1,0,0,Adventures of Sonic the Hedgehog1993,"Kent Butterworth, Phil Harnage, Bruce Shelly, Reed Shelly","Animation, Short, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",6.2,2724,0,"USA, Italy, Spain",0
My Holo Love,2020,,1,0,0,My Holo Love2020,0,"Drama, Romance, Sci-Fi",7.7,1027,0,Korea,0
The Disguiser,2015,,1,0,0,The Disguiser2015,0,"Action, Drama, History, Thriller",7.7,317,0,China,10 wins & 20 nominations.
The Disguiser,2015,,1,0,0,The Disguiser2015,0,"Action, Drama, History, Thriller",7.7,317,0,China,10 wins & 20 nominations.
A Love So Beautiful,2017,,1,0,0,A Love So Beautiful2017,0,Romance,8.2,782,0,China,5 wins & 1 nomination.
Love Alarm,2019,,1,0,0,Love Alarm2019,0,"Comedy, Drama, Romance",7.4,1666,0,South Korea,0
The Indian Detective,2017,,1,0,0,The Indian Detective2017,0,"Comedy, Crime, Drama, Mystery",6.5,2662,50,"Canada, Germany, South Africa",1 win & 1 nomination.
Inside the World's Toughest Prisons,2016,18+,1,0,0,Inside the World's Toughest Prisons2016,0,Documentary,7.0,1573,0,UK,0
Inside the World's Toughest Prisons,2016,18+,1,0,0,Inside the World's Toughest Prisons2016,0,Documentary,7.0,1573,0,UK,0
Rishta.com,2010,all,1,0,0,Rishta.com2010,0,Drama,8.4,382,0,India,0
College Behind Bars,2019,,1,0,0,College Behind Bars2019,0,Documentary,8.2,174,0,USA,1 nomination.
The Sparticle Mystery,2011,7+,1,0,0,The Sparticle Mystery2011,Alison Hume,"Adventure, Family, Fantasy, Sci-Fi",7.0,386,0,UK,0
Broken,2019,16+,1,0,0,Broken2019,0,Documentary,6.7,429,0,USA,0
Yukon Gold,2013,,1,0,0,Yukon Gold2013,"Rachel Coe, Liam Cripps, Jessica Parsons, Heidi Schorn",Reality-TV,6.0,572,0,Canada,2 nominations.
When a Snail Falls in Love,2016,,1,0,0,When a Snail Falls in Love2016,0,"Action, Crime, Romance, Thriller",7.6,229,0,China,1 nomination.
Almost Happy,2020,,1,0,0,Almost Happy2020,0,Comedy,6.7,525,0,Argentina,0
Larva Island,2018,,1,0,0,Larva Island2018,0,"Animation, Comedy",6.3,303,0,0,0
The Queen of Flow,2018,18+,1,0,0,The Queen of Flow2018,Andres Salgado,"Drama, Music",7.9,515,0,Colombia,3 wins & 2 nominations.
The Queen of Flow,2018,18+,1,0,0,The Queen of Flow2018,Andres Salgado,"Drama, Music",7.9,515,0,Colombia,3 wins & 2 nominations.
God's Quiz,2010,,1,0,0,God's Quiz2010,Jae-bum Park,Crime,7.6,67,0,South Korea,0
Nailed It! Holiday!,2018,,1,0,0,Nailed It! Holiday!2018,0,Reality-TV,7.8,794,0,USA,0
Ever After High,2013,all,1,0,0,Ever After High2013,0,"Animation, Adventure, Drama, Family, Fantasy, Music, Romance",8.0,605,0,Canada,0
Bad Guys,2014,18+,1,0,0,Bad Guys2014,0,Crime,7.9,1094,0,South Korea,1 win & 2 nominations.
Rapture,2018,18+,1,0,0,Rapture2018,0,"Documentary, Music",7.3,365,83,USA,0
Drug Lords,2018,18+,1,0,0,Drug Lords2018,0,Documentary,6.9,993,0,USA,0
Drug Lords,2018,18+,1,0,0,Drug Lords2018,0,Documentary,6.9,993,0,USA,0
Tokyo Trial,2016,,1,0,0,Tokyo Trial2016,0,"Drama, History",7.4,820,0,"Canada, Japan, Netherlands",1 win & 1 nomination.
A Cook's Tour,2002,16+,1,0,0,A Cook's Tour2002,0,Documentary,8.1,471,0,USA,0
The Stranded,2019,18+,1,0,0,The Stranded2019,0,"Adventure, Drama, Mystery",6.3,821,0,Thailand,0
Gunslinger Girl,2003,16+,1,0,0,Gunslinger Girl2003,0,"Animation, Action, Drama, Sci-Fi",7.5,1956,0,Japan,0
Captive,2016,,1,0,0,Captive2016,0,Documentary,7.0,538,71,UK,1 nomination.
Crime Diaries: The Candidate,2019,18+,1,0,0,Crime Diaries: The Candidate2019,0,"Crime, Drama, Thriller",7.6,632,0,Mexico,0
Servant of the People,2015,7+,1,0,0,Servant of the People2015,0,Comedy,7.0,570,0,Ukraine,0
Servant of the People,2015,7+,1,0,0,Servant of the People2015,0,Comedy,7.0,570,0,Ukraine,0
Aussie Gold Hunters,2016,7+,1,0,0,Aussie Gold Hunters2016,0,"Documentary, Reality-TV",7.1,228,0,Australia,0
Chewin' the Fat,1999,,1,0,0,Chewin' the Fat1999,0,Comedy,8.2,1018,0,UK,1 win & 1 nomination.
72 Dangerous Animals: Australia,2014,,1,0,0,72 Dangerous Animals: Australia2014,0,Documentary,7.0,265,0,Australia,0
The Road to Calvary,2017,7+,1,0,0,The Road to Calvary2017,0,Drama,7.7,639,0,Russia,4 wins & 11 nominations.
If I Hadn't Met You,2018,,1,0,0,If I Hadn't Met You2018,0,"Drama, Fantasy, Romance, Sci-Fi",7.7,1343,0,Spain,1 win.
Sensitive Skin,2014,16+,1,0,0,Sensitive Skin2014,0,Comedy,7.2,865,0,Canada,5 wins & 6 nominations.
Hache,2019,18+,1,0,0,Hache2019,Verónica Fernández,Drama,6.3,791,0,Spain,0
Drifting Dragons,2020,,1,0,0,Drifting Dragons2020,0,"Animation, Adventure, Fantasy",6.1,380,0,Japan,0
Four Seasons in Havana,2016,18+,1,0,0,Four Seasons in Havana2016,0,"Crime, Drama, Thriller",7.6,969,0,"Spain, Cuba",1 win & 4 nominations.
Cooper Barrett's Guide to Surviving Life,2016,7+,1,0,0,Cooper Barrett's Guide to Surviving Life2016,Jay Lacopo,Comedy,6.3,1437,50,USA,0
Loaded,2017,,1,0,0,Loaded2017,0,"Comedy, Drama",6.5,1024,60,UK,0
Brotherhood,2019,16+,1,0,0,Brotherhood2019,Pedro Morelli,"Crime, Drama, Thriller",7.6,766,0,Brazil,1 win & 2 nominations.
The Sound of Your Heart,2016,,1,0,0,The Sound of Your Heart2016,0,Comedy,8.3,635,0,South Korea,0
"Worst Year of My Life, Again!",2014,,1,0,0,"Worst Year of My Life, Again!2014",Mark Brotherhood,Comedy,7.6,218,0,Australia,2 nominations.
"Worst Year of My Life, Again!",2014,,1,0,0,"Worst Year of My Life, Again!2014",Mark Brotherhood,Comedy,7.6,218,0,Australia,2 nominations.
Silvana Sin Lana,2016,16+,1,0,0,Silvana Sin Lana2016,0,"Comedy, Drama, Romance",7.6,213,0,USA,0
Designated Survivor: 60 Days,2019,,1,0,0,Designated Survivor: 60 Days2019,0,"Drama, Thriller",8.1,652,0,South Korea,0
Tiny House Nation,2014,,1,0,0,Tiny House Nation2014,0,Reality-TV,7.2,738,0,USA,0
The Mr. Peabody & Sherman Show,2015,7+,1,0,0,The Mr. Peabody & Sherman Show2015,0,"Animation, Short, Adventure, Comedy, Family, Sci-Fi",5.7,302,80,USA,4 wins & 10 nominations.
Glitch Techs,2020,,1,0,0,Glitch Techs2020,"Dan Milano, Eric Robles","Animation, Action, Family, Sci-Fi",8.0,304,0,USA,0
Shaun the Sheep: Adventures from Mossy Bottom,2020,,1,0,0,Shaun the Sheep: Adventures from Mossy Bottom2020,0,"Animation, Family",8.0,170,0,UK,0
Trolls: The Beat Goes On!,2018,all,1,0,0,Trolls: The Beat Goes On!2018,"Matthew Ireland Beans, Hannah Friedman","Animation, Short, Adventure, Comedy, Family, Fantasy, Musical",5.8,653,0,USA,1 nomination.
Trolls: The Beat Goes On!,2018,all,1,0,0,Trolls: The Beat Goes On!2018,"Matthew Ireland Beans, Hannah Friedman","Animation, Short, Adventure, Comedy, Family, Fantasy, Musical",5.8,653,0,USA,1 nomination.
Trolls: The Beat Goes On!,2018,all,1,0,0,Trolls: The Beat Goes On!2018,"Matthew Ireland Beans, Hannah Friedman","Animation, Short, Adventure, Comedy, Family, Fantasy, Musical",5.8,653,0,USA,1 nomination.
The Bachelor,2002,16+,1,1,0,The Bachelor2002,Mike Fleiss,"Drama, Game-Show, Reality-TV, Romance",3.2,6158,0,USA,9 wins & 10 nominations.
Victim Number 8,2018,,1,0,0,Victim Number 82018,"Sara Antuña, Marc Cistaré","Action, Adventure, Crime, Drama, Fantasy, Thriller",7.1,1209,0,Spain,1 win & 1 nomination.
Autumn's Concerto,2009,16+,1,0,0,Autumn's Concerto2009,0,"Drama, Romance",8.0,332,0,Taiwan,1 nomination.
Genius of the Modern World,2016,all,1,0,0,Genius of the Modern World2016,0,"Documentary, Biography, History",7.6,750,0,UK,0
Huge in France,2019,16+,1,0,0,Huge in France2019,"Andrew Mogel, Jarrad Paul, Gad Elmaleh",Comedy,6.8,2271,50,USA,0
Huge in France,2019,16+,1,0,0,Huge in France2019,"Andrew Mogel, Jarrad Paul, Gad Elmaleh",Comedy,6.8,2271,50,USA,0
Stephen Fry in America,2008,7+,1,0,0,Stephen Fry in America2008,0,Documentary,7.9,1637,0,UK,1 win.
The Unlisted,2019,,1,0,0,The Unlisted2019,0,"Family, Sci-Fi, Thriller",6.4,427,0,Australia,3 nominations.
El Reemplazante,2012,16+,1,0,0,El Reemplazante2012,0,Drama,8.0,152,0,Chile,1 win & 3 nominations.
El Reemplazante,2012,16+,1,0,0,El Reemplazante2012,0,Drama,8.0,152,0,Chile,1 win & 3 nominations.
Transformers: Cyberverse,2018,7+,1,0,0,Transformers: Cyberverse2018,0,Animation,6.8,174,0,0,0
Ninja Hattori,1981,all,1,0,0,Ninja Hattori1981,0,"Animation, Action, Comedy, Family",7.0,585,0,Japan,1 nomination.
Rabbids Invasion,2013,7+,1,1,0,Rabbids Invasion2013,0,"Animation, Comedy, Family",5.1,1398,0,France,0
The Healing Powers of Dude,2020,,1,0,0,The Healing Powers of Dude2020,"Sam Littenberg-Weisberg, Erica Spates","Action, Comedy, Family",6.4,501,0,0,0
The Healing Powers of Dude,2020,,1,0,0,The Healing Powers of Dude2020,"Sam Littenberg-Weisberg, Erica Spates","Action, Comedy, Family",6.4,501,0,0,0
The Healing Powers of Dude,2020,,1,0,0,The Healing Powers of Dude2020,"Sam Littenberg-Weisberg, Erica Spates","Action, Comedy, Family",6.4,501,0,0,0
Escape to the Continent,2014,,1,0,0,Escape to the Continent2014,0,Reality-TV,7.5,83,0,UK,0
Killer Ratings,2019,18+,1,0,0,Killer Ratings2019,"Dinah Lord, Eamonn Matthews","Documentary, Crime",7.8,952,0,UK,0
Puffin Rock,2015,all,1,0,0,Puffin Rock2015,0,"Animation, Family",8.7,708,0,Ireland,2 wins & 9 nominations.
Puffin Rock,2015,all,1,0,0,Puffin Rock2015,0,"Animation, Family",8.7,708,0,Ireland,2 wins & 9 nominations.
Ad Vitam,2018,7+,1,0,0,Ad Vitam2018,"Thomas Cailley, Sébastien Mounier","Crime, Drama, Mystery, Sci-Fi",6.5,1125,0,France,2 wins & 1 nomination.
Residue,2015,16+,1,0,0,Residue2015,0,"Drama, Horror, Mystery, Sci-Fi, Thriller",6.1,2485,0,UK,0
Live,2018,16+,1,0,0,Live2018,0,"Comedy, Crime, Drama",8.4,719,0,South Korea,1 nomination.
Fate/Apocrypha,2017,18+,1,0,0,Fate/Apocrypha2017,0,"Animation, Action, Drama, Fantasy",6.5,1649,0,Japan,1 win & 3 nominations.
Fate/Apocrypha,2017,18+,1,0,0,Fate/Apocrypha2017,0,"Animation, Action, Drama, Fantasy",6.5,1649,0,Japan,1 win & 3 nominations.
Doomsday Preppers,2011,7+,1,0,0,Doomsday Preppers2011,0,Reality-TV,6.1,890,0,USA,0
"Can't Cope, Won't Cope",2016,,1,0,0,"Can't Cope, Won't Cope2016",0,"Comedy, Drama",7.3,614,0,Ireland,0
Lunatics,2019,18+,1,0,0,Lunatics2019,Chris Lilley,Comedy,6.6,2590,0,Australia,0
The Big Flower Fight,2020,,1,0,0,The Big Flower Fight2020,0,Reality-TV,7.5,688,43,UK,0
Criminal: Spain,2019,7+,1,0,0,Criminal: Spain2019,"Jim Field Smith, George Kay","Crime, Drama",6.9,2479,0,Spain,1 nomination.
Can't Pay? We'll Take It Away!,2014,18+,1,0,0,Can't Pay? We'll Take It Away!2014,0,Documentary,7.2,547,0,UK,0
Twice Upon a Time,2019,,1,0,0,Twice Upon a Time2019,0,"Drama, Romance, Sci-Fi, Thriller",6.3,549,0,France,0
Twice Upon a Time,2019,,1,0,0,Twice Upon a Time2019,0,"Drama, Romance, Sci-Fi, Thriller",6.3,549,0,France,0
Twice Upon a Time,2019,,1,0,0,Twice Upon a Time2019,0,"Drama, Romance, Sci-Fi, Thriller",6.3,549,0,France,0
Twice Upon a Time,2019,,1,0,0,Twice Upon a Time2019,0,"Drama, Romance, Sci-Fi, Thriller",6.3,549,0,France,0
Paranormal Survivor,2015,7+,1,0,0,Paranormal Survivor2015,0,Documentary,6.3,529,0,Canada,0
Babies,2020,,1,0,0,Babies2020,0,Documentary,7.0,399,67,USA,0
The Ghost Bride,2020,18+,1,0,0,The Ghost Bride2020,Anwari Ashraf,Drama,5.8,498,0,"Taiwan, Malaysia",0
Brainchild,2018,7+,1,0,0,Brainchild2018,Adam 'Tex' Davis,"Documentary, Family",7.9,251,0,0,0
Brainchild,2018,7+,1,0,0,Brainchild2018,Adam 'Tex' Davis,"Documentary, Family",7.9,251,0,0,0
The Real Football Factories,2006,,1,0,0,The Real Football Factories2006,0,"Documentary, Sport",7.6,654,0,UK,0
Bumping Mics with Jeff Ross & Dave Attell,2018,18+,1,0,0,Bumping Mics with Jeff Ross & Dave Attell2018,0,Comedy,7.7,990,0,USA,0
20 Minutes,2013,,1,0,0,20 Minutes2013,0,"Action, Drama, Romance",7.0,1258,0,Turkey,1 nomination.
A Thousand Days' Promise,2011,16+,1,0,0,A Thousand Days' Promise2011,0,Drama,8.2,48,0,South Korea,3 nominations.
So Awkward,2015,,1,0,0,So Awkward2015,Julie Bower,Comedy,7.3,141,0,UK,2 wins & 1 nomination.
Murder Maps,2015,16+,1,0,0,Murder Maps2015,0,"Crime, History",7.5,357,0,UK,0
Shot in the Dark,2017,18+,1,0,0,Shot in the Dark2017,0,"Documentary, Reality-TV",8.0,1484,0,USA,1 nomination.
Here to Heart,2018,7+,1,0,0,Here to Heart2018,0,"Drama, Romance",7.6,117,0,China,4 wins & 1 nomination.
Littlest Pet Shop,2012,all,1,0,0,Littlest Pet Shop2012,"Tim Cahill, Julie McNally Cahill","Animation, Adventure, Comedy, Family, Fantasy, Musical",6.1,684,0,"USA, Canada",2 wins & 7 nominations.
Hidden Worlds,2018,all,1,0,0,Hidden Worlds2018,0,Drama,7.0,223,0,Egypt,0
Secrets of Great British Castles,2015,7+,1,0,0,Secrets of Great British Castles2015,0,"Documentary, History",7.8,736,0,UK,0
The Wiggles,1998,all,1,0,0,The Wiggles1998,"Murray Cook, Jeff Fatt, Anthony Field, Greg Page, Melissa Rossiter","Adventure, Comedy, Family, Fantasy, Music",5.7,705,0,Australia,0
Grand Designs Australia,2010,all,1,0,0,Grand Designs Australia2010,0,"Documentary, Reality-TV",7.2,253,0,Australia,1 win & 7 nominations.
Release the Hounds,2013,,1,0,0,Release the Hounds2013,0,"Action, Adventure, Game-Show",6.8,172,0,UK,2 wins & 1 nomination.
Fallet,2017,,1,0,0,Fallet2017,"Erik Hultkvist, Rikard Ulvshammar","Comedy, Crime",6.8,1383,0,Sweden,1 win & 4 nominations.
The Neighbor,2019,18+,1,0,0,The Neighbor2019,"Miguel Esteban, Raúl Navarro",Comedy,6.5,1287,0,Spain,0
The Expanding Universe of Ashley Garcia,2020,,1,0,0,The Expanding Universe of Ashley Garcia2020,"Seth Kurland, Mario Lopez",Comedy,6.7,597,0,USA,0
Mortel,2019,18+,1,0,0,Mortel2019,Frédéric Garcia,"Horror, Sci-Fi",6.5,727,0,France,0
Let's Eat,2013,16+,1,0,0,Let's Eat2013,0,"Comedy, Romance",7.7,411,0,South Korea,0
Sisters,2017,,1,0,0,Sisters2017,0,Drama,7.6,1296,0,Australia,1 nomination.
Sisters,2017,,1,0,0,Sisters2017,0,Drama,7.6,1296,0,Australia,1 nomination.
Fary: Hexagone,2020,,1,0,0,Fary: Hexagone2020,0,Comedy,0.0,0,0,France,0
Cannabis,2016,16+,1,0,0,Cannabis2016,Hamid Hlioua,"Crime, Drama, Thriller",6.8,566,0,France,0
Bill Nye Saves the World,2017,7+,1,0,0,Bill Nye Saves the World2017,0,"Comedy, Talk-Show",3.6,6639,75,USA,Nominated for 3 Primetime Emmys. Another 1 win & 2 nominations.
Scare Tactics,2003,16+,1,0,0,Scare Tactics2003,"Scott Hallock, Kevin Healey","Comedy, Horror, Reality-TV, Sci-Fi, Thriller",6.7,2282,0,USA,0
A User's Guide to Cheating Death,2017,16+,1,0,0,A User's Guide to Cheating Death2017,0,Documentary,7.6,202,0,Canada,1 nomination.
Chelsea,2016,18+,1,0,0,Chelsea2016,0,Talk-Show,6.3,1689,41,USA,1 nomination.
Dinner for Five,2001,18+,1,0,0,Dinner for Five2001,0,"Comedy, Talk-Show",8.1,810,0,USA,0
The Chosen One,2019,18+,1,0,0,The Chosen One2019,"Mauricio Katz, Pedro Peirano","Mystery, Thriller",5.6,493,0,Brazil,0
Trailer Park Boys: The Animated Series,2019,18+,1,0,0,Trailer Park Boys: The Animated Series2019,0,"Animation, Comedy",7.5,2127,0,Canada,2 nominations.
The Royal House of Windsor,2017,16+,1,0,0,The Royal House of Windsor2017,0,History,7.4,821,0,UK,0
Playing with Fire,2019,18+,1,0,0,Playing with Fire2019,"Dan Ewen (story by), Dan Ewen (screenplay by), Matt Lieberman (screenplay by)","Comedy, Family",5.0,9613,0,USA,1 win & 3 nominations.
Love Through a Millennium,2015,,1,0,0,Love Through a Millennium2015,0,"Fantasy, Romance",6.8,5,0,China,0
My Life,2014,all,1,0,0,My Life2014,0,"Short, Musical",0.0,0,0,UK,0
Skylanders Academy,2016,7+,1,0,0,Skylanders Academy2016,Eric Rogers,"Animation, Short, Action, Adventure, Comedy, Family, Fantasy",6.5,538,0,"South Korea, USA",3 nominations.
Powder,1995,13+,1,0,0,Powder1995,Victor Salva,"Drama, Fantasy, Mystery, Sci-Fi, Thriller",6.6,28248,50,USA,1 win & 1 nomination.
Dancing Queen,2018,7+,1,0,0,Dancing Queen2018,0,"Music, Reality-TV",6.9,1270,0,0,0
Sid the Science Kid,2008,all,1,0,0,Sid the Science Kid2008,Jim Henson,"Animation, Comedy, Family",5.4,526,80,USA,7 nominations.
Cagaster of an Insect Cage,2020,18+,1,0,0,Cagaster of an Insect Cage2020,0,"Animation, Action, Drama, Sci-Fi",6.1,388,0,Japan,0
Absurd Planet,2020,7+,1,0,0,Absurd Planet2020,0,Documentary,3.9,1186,0,USA,0
Last Chance to See,2009,7+,1,0,0,Last Chance to See2009,0,Documentary,8.3,498,0,UK,0
Behind Enemy Lines,2001,13+,1,0,0,Behind Enemy Lines2001,"Jim Thomas (story), John Thomas (story), David Veloz (screenplay), Zak Penn (screenplay)","Action, Drama, Thriller, War",6.4,97920,37,USA,1 win & 2 nominations.
Chuggington,2008,all,1,1,0,Chuggington2008,0,"Animation, Family",5.8,420,0,UK,2 nominations.
Triad Princess,2019,18+,1,0,0,Triad Princess2019,0,"Adventure, Drama",7.0,363,0,Taiwan,1 nomination.
