,Title,Year,Writer,Genre,IMDB_Rating,IMDB_Votes,Rotten_Tomatoes,Country,Awards,Key
0,On My Block,2018,"Eddie Gonzalez, Jeremy Haft, Lauren Iungerich",Comedy,8.0,10019,97,USA,1 win & 8 nominations.,On My Block2018
0,Longmire,2012,"Hunt Baldwin, John Coveny","Action, Crime, Drama, Western",8.3,28359,88,USA,4 wins & 5 nominations.,Longmire2012
0,The Tudors,2007,Michael Hirst,"Drama, History, Romance, War",8.1,67429,69,"Ireland, Canada, USA, UK",Nominated for 3 Golden Globes. Another 49 wins & 79 nominations.,The Tudors2007
0,Happy!,2017,"Grant Morrison, Brian Taylor","Action, Comedy, Crime, Fantasy, Mystery, Thriller",8.2,31323,84,USA,0,Happy!2017
0,The Stranger,2020,0,"Crime, Drama, Mystery, Thriller",7.3,31120,89,UK,0,The Stranger2020
0,Call the Midwife,2012,Heidi Thomas,"Drama, History",8.4,19512,89,UK,15 wins & 14 nominations.,Call the Midwife2012
0,Into the Night,2020,Jason George,"Drama, Sci-Fi, Thriller",7.1,18660,83,Belgium,0,Into the Night2020
0,Mystery Science Theater 3000,1988,Joel Hodgson,"Comedy, Sci-Fi",8.5,22765,80,USA,Nominated for 2 Primetime Emmys. Another 4 wins & 13 nominations.,Mystery Science Theater 30001988
0,Mystery Science Theater 3000,1988,Joel Hodgson,"Comedy, Sci-Fi",8.5,22765,80,USA,Nominated for 2 Primetime Emmys. Another 4 wins & 13 nominations.,Mystery Science Theater 30001988
0,The Inbetweeners,2008,0,Comedy,8.4,78541,54,UK,13 wins & 14 nominations.,The Inbetweeners2008
0,Reign,2013,"Laurie McCarthy, Stephanie Sengupta","Drama, Fantasy",7.5,42635,86,USA,4 wins & 21 nominations.,Reign2013
0,The Kominsky Method,2018,Chuck Lorre,"Comedy, Drama",8.2,22647,90,USA,Won 2 Golden Globes. Another 1 win & 26 nominations.,The Kominsky Method2018
0,The 4400,2004,"René Echevarria, Scott Peters","Drama, Mystery, Sci-Fi, Thriller",7.3,42025,95,"USA, UK",Nominated for 3 Primetime Emmys. Another 1 win & 10 nominations.,The 44002004
0,The Borgias,2011,Neil Jordan,"Crime, Drama, History, Romance",7.9,47555,85,"USA, Hungary, Ireland, Canada",Nominated for 1 Golden Globe. Another 16 wins & 53 nominations.,The Borgias2011
0,Marco Polo,2014,John Fusco,"Adventure, Drama, History",8.0,62869,67,USA,Nominated for 1 Primetime Emmy. Another 3 wins & 5 nominations.,Marco Polo2014
0,Queer Eye,2018,0,Reality-TV,8.5,14847,91,USA,Won 7 Primetime Emmys. Another 5 wins & 25 nominations.,Queer Eye2018
0,The Spy,2019,0,"Drama, History",7.9,28552,86,France,Nominated for 1 Golden Globe. Another 1 nomination.,The Spy2019
0,Love,2016,"Judd Apatow, Lesley Arfin, Paul Rust","Comedy, Drama, Romance",7.7,36071,94,USA,1 win & 1 nomination.,Love2016
0,Designated Survivor,2016,David Guggenheim,"Action, Drama, Mystery, Thriller",7.5,73634,71,USA,3 wins & 3 nominations.,Designated Survivor2016
0,Ripper Street,2012,Richard Warlow,"Crime, Drama, Mystery",8.1,18907,100,"UK, Ireland",10 wins & 27 nominations.,Ripper Street2012
0,Feel Good,2020,0,"Comedy, Drama, Romance",7.5,3563,100,UK,0,Feel Good2020
